Formula,Fractional Enrichment,Fractional Enrichment with zero,Label,Name,Sample,Truth Value_x,Intensity,Unlabeled Fragment,Indistinguishale_isotope,NA Corrected,NA Corrected with zero,Pool_total,Truth Value_y
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_15M,False,0.0,pantothenate,{},-3.0828624777,0.0,3821307.96604,True
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_120M,False,0.0,pantothenate,{},-2.9949648246,0.0,3949461.56604,True
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_3i,False,0.0,pantothenate,{},0.0384702711,0.0384702711,3017398.16979,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_1M,False,141.0213,pantothenate,{},139.406618873,139.406618873,4213029.9702,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_45i,False,0.0,pantothenate,{},-1.7041e-06,0.0,2634572.08866,True
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_3M,False,0.0,pantothenate,{},0.1675388375,0.1675388375,3756408.74576,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_1i,False,0.0,pantothenate,{},0.104713526,0.104713526,3077124.43744,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_45M,False,0.0,pantothenate,{},0.1727794142,0.1727794142,3712238.01587,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_0i,False,0.0,pantothenate,{},-0.0009252614,0.0,3050131.76743,True
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_0M,False,137.1032,pantothenate,{},132.329798194,132.329798194,4104039.78393,False
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_5i,False,0.0,pantothenate,{},-3.5186731678,0.0,3024169.24967,True
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_120i,False,0.0,pantothenate,{},-3.7492877399,0.0,3297901.44372,True
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_5M,False,172.8422,pantothenate,{},160.169076723,160.169076723,4214962.62651,False
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_240M,False,0.0,pantothenate,{},-16.7019470126,0.0,3948330.30116,True
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_15i,False,0.0,pantothenate,{},0.0004455148,0.0004455148,2614836.62687,False
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_240i,False,0.0,pantothenate,{},-5.2894471575,0.0,3055145.9894,True
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_15M,False,141.44,pantothenate,{},133.234784832,133.234784832,3821307.96604,False
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_120M,False,139.7977,pantothenate,{},126.956450385,126.956450385,3949461.56604,False
C9H17NO5,0.0,0.0,C13-label-7,pantothenate,091215_3i,False,0.0,pantothenate,{},-3.4351241066,0.0,3017398.16979,True
